ID,Category_ID,Name,DOP_Refrigerate_Min,DOP_Refrigerate_Max,DOP_Freeze_Min,DOP_Freeze_Max,Safe_Minimum_Temperature
486,6,Chicken broth/stock/consommé ,,,,,5
487,6,Vegetable stock/broth ,,,,,5
488,23,Peanut butter,12.0,12.0,,,5
489,23,Peanut butter,12.0,12.0,,,5
490,7,Ricotta,2.0,2.0,,,5
491,19,Baby carrots,4.0,4.0,,,5
492,19,Jicama,2.0,3.0,,,5
493,19,Kimchi,6.0,12.0,,,5
494,19,Kohlrabi,1.0,1.0,,,5
495,18,Watermelon,3.0,4.0,,,5
496,18,Cantaloupe,5.0,15.0,,,5
497,18,Honeydew,3.0,4.0,,,5
498,9,Peanuts ,,,,,5
499,9,Refried beans,,,,,5
500,6,Relish,9.0,9.0,,,5
501,23,Tomato paste,,,,,5
502,23,Tapenade,9.0,9.0,,,5
503,23,Flaxseed,,,,,5
504,23,Flaxseed,12.0,12.0,,,5
505,19,Lemongrass,7.0,9.0,6.0,6.0,5
506,19,Cilantro,,,,,5
507,19,Mint,,,,,5
508,19,Basil,,,,,5
509,19,Basil,,,,,5
510,19,Oregano,,,,,5
511,19,Rosemary,,,,,5
512,19,Chives,,,,,5
513,19,Thyme,,,,,5
514,25,Turkey ,2.0,2.0,1.0,2.0,5
515,25,Ham,2.0,2.0,1.0,2.0,5
516,25,Salami ,2.0,2.0,1.0,2.0,5
517,25,Chicken,2.0,2.0,1.0,2.0,5
518,25,Canadian bacon,,,,,5
519,25,Canadian bacon,80.0,80.0,,,5
520,23,Canola oil,,,,,5
521,23,Almond oil,2.0,2.0,,,5
522,23,Sunflower oil,,,,,5
523,23,Grapeseed oil,,,,,5
524,6,Duck fat,,,,,5
525,6,Bacon grease,,,,,5
526,6,Frying oil,,,,,5
527,3,Almond extract,,,,,5
528,3,Cinnamon extract,,,,,5
529,3,Lemon extract,,,,,5
530,3,Pure vanilla extract,,,,,5
531,3,Butter flavor,,,,,5
532,3,Coconut flavor,,,,,5
533,23,"""Genuine"" Maple syrup",,,,,5
534,23,"""Genuine"" Maple syrup",,,,,5
536,5,Lemon juice,,,,,5
537,5,Apple juice,,,,,5
538,5,Carrot juice,,,,,5
539,5,Hard liquors,,,,,5
540,5,Cream liquors,,,,,5
541,5,Coffee,,,,,5
542,2,Macaroons,,,,,5
543,7,Milk,,,,,5
544,7,String Cheese,5.0,5.0,,,5
545,7,Vegan Cheddar Cheese,4.0,4.0,,,5
546,7,Quark,,,,,5
547,19,Zucchini,,,,,5
548,19,Hot peppers,1.0,1.0,,,5
549,19,Bean sprouts,5.0,10.0,,,5
550,19,Swiss chard,1.0,2.0,,,5
551,4,Puff pastry,,,,,5
552,4,Biscuits,,,,,5
553,9,Tortillas,60.0,90.0,,,5
554,4,Pie crust,,,,,5
555,23,Granola,,,,,5
556,23,Pork rinds,,,,,5
557,6,Apple cider vinegar,,,,,5
558,5,Nutrition supplement drinks,,,,,5
559,6,Hot sauce,,,,,5
560,6,Thai red curry paste,,,,,5
561,3,Yeast,,,,,5
562,18,Applesauce,,,,,5
563,12,Pate,,,,,5
564,14,Pate,,,,,5
565,6,Cranberry sauce,,,,,5
566,6,Cranberry sauce,,,,,5
567,5,Vegetable juice,,,,,5
568,5,Vegetable juice,,,,,5
569,5,Vegetable juice,,,,,5
570,19,Marinated vegetables,,,,,5
571,8,Pizza,,,,,5
572,25,Salsa,,,,,5
573,23,Chia seeds,,,,,5
574,2,Bread,,,,,5
575,9,Amaranth,,,,,5
576,3,Amaranth,,,,,5
577,9,Barley,,,,,5
578,3,Barley,,,,,5
579,9,Buckwheat,,,,,5
580,3,Buckwheat,,,,,5
581,9,Farro,,,,,5
582,3,Farro,,,,,5
583,9,Millet,,,,,5
584,3,Millet,,,,,5
585,9,Oats,,,,,5
586,3,Oats,,,,,5
587,9,Rye,,,,,5
588,3,Rye,,,,,5
589,9,Sorghum,,,,,5
590,3,Sorghum,,,,,5
591,9,Spelt,,,,,5
592,3,Spelt,,,,,5
593,9,Teff,,,,,5
594,3,Teff,,,,,5
595,10,Rabbit,,,,,5
596,19,Spaghetti squash,,,,,5
597,19,Spaghetti squash,,,,,5
598,3,Garam masala,,,,,5
599,6,Tomato sauce,,,,,5
600,19,Cherry tomatoes,,,,,5
601,23,Coconut cream,,,,,5
602,23,Coconut milk,,,,,5
603,25,Coleslaw,,,,,5
604,23,Pumpkin seeds,,,,,5
605,23,Pumpkin seeds,,,,,5
606,23,Pumpkin seeds,,,,,5
607,23,Pumpkin seeds,,,,,5
608,23,Sunflower seeds,,,,,5
609,23,Sunflower seeds,,,,,5
610,23,Sunflower seeds,,,,,5
611,19,Parsley,,,,,5
612,23,Sesame oil,,,,,5
613,23,Sesame seeds,,,,,5
614,23,Capers,,,,,5
615,23,Chocolate hazlenut spread,,,,,5
616,23,"Roasted nuts (peanuts, cashews, almonds)",,,,,5
617,23,Tuna,,,,,5
618,23,Tuna,,,,,5
619,23,Seafood,,,,,5
620,7,Pimento cheese,,,,,5
621,10,Bison,,,,,5
622,10,Bison,,,,,5
623,6,Salad dressing,,,,,5
624,6,Salad dressing,,,,,5
625,6,Salad dressing,,,,,5
626,6,Salad dressing,,,,,5
627,23,Grits,,,,,5
628,7,Cheese Curds,,,,,5
629,25,Vegetable soup,,,,,5
630,10,Chorizo,,,,,5
631,12,Chorizo,,,,,5
632,12,Chorizo,,,,,5
633,23,Beets,,,,,5
634,4,Cinnamon rolls,,,,,5
635,3,Cinnamon rolls,,,,,5
636,6,Cooking wine,,,,,5
637,9,Bulgur,,,,,5
638,10,Bratwurst,,,,,5
639,12,Bratwurst,,,,,5
640,19,Edamame,,,,,5
641,8,Edamame,,,2.0,2.0,5
642,23,Edamame,,,,,5
643,23,Breadcrumbs,,,,,5
644,23,Milk ,,,,,5
645,25,Salsa,,,,,5
646,6,Salsa,,,,,5
647,6,Tomato Sauce,,,,,5
648,6,Barbecue Sauce,,,,,5
649,7,Ghee,,,,,5
650,23,Corn syrup,,,,,5
651,23,Nutrition supplement drinks,,,,,5
652,23,Instant breakfast drinks,,,,,5
653,23,Pine nuts,,,,,5
654,3,Coconut flour,,,,,5
655,23,Pecans,,,,,5
656,23,Polenta,,,,,5
657,8,Polenta,,,,,5
658,23,Cereal or granola bars,,,,,5
659,23,Milk ,,,,,5
660,5,Coconut water,,,,,5
